Name,Right ascension,Declination,Flux density,Error class,Galactic lat,Galactic long,4C number,(Label),(Type)
3C132,4h 56.702m,22d 48.659m,12.4,a,-12.5,178.9,4C+22.11,3C132,H16
3C133,5h 2.971m,25d 16.221m,21,a,-9.9,177.7,4C+25.16,3C133,H16
3C134,5h 4.703m,38d 6.110m,77,a,-1.9,167.6,4C+38.15,3C134,H16
3C135,5h 14.115m,0d 54.414m,9.3,a,-21.1,200.4,4C+00.18,3C135,H16
3C136.1,5h 15.972m,24d 52.298m,4.7,a,-7.7,179.8,4C+24.10,3C136.1,H16
3C137,5h 19.534m,50d 54.072m,9.3,a,7.8,158.8,4C+50.16,3C137,H16
3C138,5h 20.962m,6d 37.928m,18.7,a,-16.7,196.1,4C+16.12,3C138,H16
3C139.2,5h 24.471m,28d 12.692m,8.8,a*,-4.3,178.1,4C+28.15,3C139.2,H16
3C141,5h 26.724m,32d 49.534m,14.1,a,-1.3,174.5,4C+32.18,3C141,H16
3C142.1,5h 31.483m,6d 31.170m,17.1,a,-14.5,197.6,4C+06.23,3C142.1,H16
3C144*,5h 34.508m,21d 59.962m,1530,a,-5.8,184.6,4C+21.19,3C144*,H16
3C145,5h 35.520m,-5d 8.130m,10.6,a,-19.2,208.8,4C-05.21,3C145,H16
3C147,5h 42.593m,49d 51.407m,59.6,a,10.3,161.7,4C+49.14,3C147,H16
3C152,6h 4.476m,20d 20.782m,12.4,a,-0.6,189.6,4C+20.17,3C152,H16
3C153,6h 9.542m,48d 4.443m,15.4,a,13.4,165.4,4C+48.15,3C153,H16
3C154,6h 13.831m,26d 5.106m,23.1,a,4,185.6,4C+26.20,3C154,H16
3C157*,6h 18.188m,22d 31.786m,6.3,b,3.2,189.2,4C+22.15,3C157*,H16
3C158,6h 21.693m,14d 31.525m,16.7,a,0.2,196.6,4C+14.17,3C158,H16
3C161*,6h 27.154m,-5d 49.885m,78,a,-8,215.4,4C-05.23,3C161*,H16
3C165,6h 43.097m,23d 16.987m,13.5,a,8.7,191.1,4C+23.17,3C165,H16
3C166,6h 45.389m,21d 22.821m,14.7,b,8.3,193.1,4C+21.21,3C166,H16
3C169.1,6h 51.253m,45d 9.427m,6.1,a,18.8,171.1,4C+45.12,3C169.1,H16
3C171,6h 55.237m,54d 10.158m,20.3,a,22.2,162.2,4C+54.11,3C171,H16
3C172,7h 2.135m,25d 12.636m,13.7,a,13.4,191.2,4C+25.19,3C172,H16
3C173,7h 2.349m,37d 56.633m,9,a,18.3,179,4C+38.19,3C173,H16
3C173.1,7h 9.281m,74d 50.255m,14.3,a,27.3,140,4C+74.12,3C173.1,H16
3C175,7h 13.051m,11d 43.863m,17.2,a,10.1,204.8,4C+11.26,3C175,H16
3C175.1,7h 14.086m,14d 34.794m,7.5,a,11.5,202.3,4C+14.21,3C175.1,H16
3C177*,7h 24.430m,15d 19.083m,4.1,a,14.1,202.7,4C+15.19,3C177*,H16
3C177*,7h 24.840m,16d 2.056m,4.7,a,14.5,202.1,4C+16.21,3C177*,H16
3C180,7h 27.071m,-2d 6.107m,14.2,a,6.9,218.9,4C-02.31,3C180,H16
3C181,7h 28.173m,14d 34.829m,12.4,a,14.6,203.8,4C+14.24,3C181,H16
3C184,7h 39.335m,70d 22.167m,11.8,a,29.4,145.1,4C+70.06,3C184,H16
3C186,7h 44.301m,37d 52.770m,13,a,26.1,181.8,4C+38.21,3C186,H16
3C187,7h 45.063m,1d 59.695m,8.3,a,12.8,217.3,4C+02.21,3C187,H16
3C190*,8h 1.578m,14d 14.640m,15.3,b,21.8,207.6,4C+14.25,3C190*,H16
3C191,8h 4.800m,10d 13.435m,11.4,a,20.9,211.9,4C+10.25,3C191,H16
3C192,8h 5.594m,24d 8.394m,15,a,26.4,197.9,4C+24.16,3C192,H16
3C194,8h 10.053m,42d 27.131m,9.9,a,31.9,177.9,4C+42.25,3C194,H16
3C196,8h 13.603m,48d 11.918m,73.7,a,33.2,171.2,4C+48.22,3C196,H16
3C196.1,8h 15.454m,-3d 8.229m,18.6,a,17.1,225.7,4C-02.35,3C196.1,H16
3C197.1,8h 21.551m,47d 2.436m,8.1,a,34.5,172.7,4C+47.28,3C197.1,H16
3C198,8h 22.519m,5d 54.351m,9,a,22.9,218.2,4C+06.30,3C198,H16
3C200,8h 27.429m,29d 18.074m,9.1,b,32.6,193.9,4C+29.29,3C200,H16
3C204,8h 37.747m,65d 12.519m,9.2,a,35.5,150.3,4C+65.09,3C204,H16
3C205,8h 39.104m,57d 53.428m,12.5,a,36.9,159.3,4C+58.16,3C205,H16
3C207,8h 40.796m,13d 14.299m,12,a,30.2,212.9,4C+13.38,3C207,H16
3C208,8h 53.146m,13d 52.624m,17,a,33.2,213.7,4C+14.28,3C208,H16
3C208.1,8h 54.664m,14d 7.543m,9,a,33.6,213.6,4C+14.29,3C208.1,H16
3C209,8h 55.143m,-7d 9.491m,5.2,a,23.4,234.9,4C-06.19,3C209,H16
3C210,8h 58.180m,27d 50.365m,9.5,a,38.8,197.8,4C+28.21,3C210,H16
3C212,8h 58.686m,14d 10.332m,14.1,a,34.5,214,4C+14.30,3C212,H16
3C213.1,9h 1.103m,29d 2.213m,6.6,a,39.7,196.5,4C+29.33,3C213.1,H16
3C215,9h 6.522m,16d 45.931m,9.9,a,37.2,211.9,4C+16.26,3C215,H16
3C216,9h 9.564m,42d 50.792m,20.1,a,42.8,178.4,4C+43.17,3C216,H16
3C217,9h 8.845m,37d 47.825m,14.5,a,42.6,185.2,4C+38.26,3C217,H16
3C219,9h 21.135m,45d 38.234m,34.3,a,44.8,174.4,4C+45.19,3C219,H16
3C220.1,9h 32.645m,79d 4.772m,15.8,a,33.8,132.9,4C+79.06,3C220.1,H16
