;
;                          Classification Codes (CL)
;,,,,,,,,,
; SG = spiral galaxy           DN = diffuse nebula       OC = open cluster
; EG = elliptical galaxy       PN = planetary nebula     GC = globular cluster
; IG = irregular galaxy        DK = dark nebula          DS = double star
;                                                        QS = quasar
;       Compiled by Darrell W. Green - CompuServe [72406,1736]
;
Catalogue,Messier,Constellation,Class,Right ascension,Declination,Magnitude,Angular size,Burnham,Remarks
NGC2422,M 47,Puppis,Open cluster,7h 36.6m,-14° 30',4.5,30,*,number: 30
NGC2423,,Puppis,Open cluster,7h 37.1m,13° 52',6.9,20,,number: 40
NGC2437,M 46,Puppis,Open cluster,7h 41.8m,-14° 49',6.1,27,!,n:100 - NGC 2438 in field
NGC2438,,Puppis,Planetary nebula,7h 41.8m,-14° 44',11.3,65,,cnt str:16.8-M46 in field
NGC2439,,Puppis,Open cluster,7h 40.8m,-31° 39',6.9,10,,number: 80
NGC2447,M 93,Puppis,Open cluster,7h 44.6m,-23° 52',6.2,22,*,number: 80
NGC2451,,Puppis,Open cluster,7h 45.4m,-37° 58',2.8,45,,number: 40
NGC2467,,Puppis,Diffuse nebula,7h 52.5m,-26° 24',9.2,4x4,,spectrum: B
NGC2477,,Puppis,Open cluster,7h 52.3m,-38° 33',5.7,27,!,number: 300 - globular?
NGC2482,,Puppis,Open cluster,7h 54.9m,-24° 18',7.3,12,,number: 40
NGC2489,,Puppis,Open cluster,7h 56.2m,-30° 4',7.9,8,,number: 45
NGC2506,,Monoceros,Open cluster,8h 0.2m,-10° 47',7.6,7,*,number: 150
NGC2509,,Puppis,Open cluster,8h 0.7m,-19° 4',9.3,8,,number: 70
NGC2516,,Carina,Open cluster,7h 58.3m,-60° 52',3.8,30,*,number: 80
NGC2539,,Puppis,Open cluster,8h 10.7m,-12° 50',6.9,21,,number: 50
NGC2547,,Vela,Open cluster,8h 10.7m,-49° 16',4.7,20,,number: 80
NGC2548,M 48,Hydra,Open cluster,8h 13.8m,-5° 48',5.8,54,*,number: 80
NGC2567,,Puppis,Open cluster,8h 18.6m,-30° 38',7.4,10,,number: 40
NGC2571,,Puppis,Open cluster,8h 18.9m,-29° 44',7,13,,number: 30
NGC2587,,Puppis,Open cluster,8h 23.5m,-29° 30',9.1,9,,number: 40
NGC2610,,Hydra,Planetary nebula,8h 33.4m,-16° 9',13.6,38x31,,central star mag: 15.7v
NGC2613,,Pyxis,Spiral galaxy,8h 33.4m,-22° 58',10.4,6.4x1.5,,Sb - edge-on
NGC2627,,Pyxis,Open cluster,8h 37.3m,-29° 57',8.3,11,,number: 60
