Name Number,Magnitude H,Magnitude G,Mean anomaly,Arg. perihelion,Long. node,Inclination,Eccentricity,Semimajor axis,Epoch (MJD)
-none-
ANASTASIA 824,10.41,0.15,28.834218,141.3972,141.85548,8.117419,0.1350466,2.7942267,48800
ANATOLIYA 3286,12.9,0.15,282.24425,78.021118,107.76826,13.403285,0.105713,2.635083,48800
ANCHISES 1173,8.89,0.15,149.02691,39.363934,283.95384,6.905752,0.1356175,5.3291373,48800
ANDERSEN 2476,10.9,0.15,269.74018,268.43279,82.645476,10.824599,0.1186954,3.0217207,48800
ANDREADORIA 2175,14.2,0.15,175.50294,143.18071,222.39996,3.696149,0.2064571,2.2165749,48800
ANDREE 1296,10.9,0.15,183.37543,235.9736,227.23679,4.110265,0.1406563,2.4183084,48800
ANDRESBELLO 2282,13.2,0.15,301.09459,238.03883,208.00008,4.976703,0.0793753,2.203241,48800
ANDRIANA 3413,13.4,0.15,217.93316,287.39086,307.26157,5.800721,0.127804,2.2514432,48800
ANDROMACHE 175,8.31,0.15,308.11882,322.34889,21.495621,3.220749,0.2296776,3.1888766,48800
ANDRONIKOV 2294,11.5,0.15,208.30909,42.668931,291.45312,6.308318,0.1178013,2.5832217,48800
ANEAS 1172,8.33,0.15,176.33684,48.010002,247.49295,16.70863,0.1018218,5.1701927,48800
ANGA 3158,12.5,0.15,271.79311,227.43396,187.88624,14.574682,0.1035237,2.5492681,48800
ANGARA 1957,11.36,0.15,39.397338,216.60573,51.137569,11.181844,0.0564878,3.0093857,48800
ANGELICA 965,9.8,0.15,161.02234,47.837474,41.636187,21.49203,0.2884247,3.1420603,48800
ANGELINA 64,7.67,0.48,357.96972,179.75477,309.90456,1.310285,0.1256565,2.6814301,48800
ANGERHOFER 3160,13.5,0.15,102.78696,331.99765,310.9427,5.081532,0.1560635,2.377157,48800
ANGOLA 1712,9.8,0.15,31.291408,15.564717,238.24681,19.216766,0.1361681,3.1858751,48800
ANHUI 2162,13,0.15,51.092062,285.1982,128.76814,3.046472,0.1233707,2.2271793,48800
ANI 791,9.25,0.15,4.395678,203.29411,130.18097,16.388134,0.2004581,3.1159177,48800
ANIKUSHIN 3358,12.3,0.15,102.47606,275.74191,147.12499,2.093732,0.1937583,3.1990311,48800
ANITRA 1016,12,0.15,314.34812,52.555728,9.102926,6.045705,0.1275943,2.2195118,48800
ANKARA 1457,10.6,0.15,219.74407,295.46436,296.79748,6.079184,0.1593227,2.6932876,48800
ANNA 265,11.2,0.15,300.55728,252.03123,335.70225,25.62833,0.2670227,2.4209348,48800
ANNAGERMAN 2519,11.3,0.15,47.662582,228.52258,83.928399,2.425015,0.1745459,3.1395871,48800
ANNAPAVLOVA 3055,12.5,0.15,80.374056,64.137258,3.579032,15.017973,0.1069176,2.5623117,48800
ANNE-MARIE 3667,11.9,0.15,81.436181,75.501472,0.322543,16.240568,0.2276958,3.089624,48800
ANNELIESE 910,10.3,0.15,133.50243,205.92435,50.396372,9.260858,0.1571237,2.9223306,48800
ANNERES 3664,12.4,0.15,256.60739,144.36109,261.09036,3.595342,0.1343169,2.7941102,48800
ANNETTE 2839,12.3,0.15,333.74362,6.085444,44.751206,4.813241,0.1497388,2.2166486,48800
ANNIKA 817,10.8,0.15,169.32409,285.0091,125.83373,11.357511,0.1793966,2.5887625,48800
ANTARCTICA 2404,11.4,0.15,144.54981,149.71203,111.0628,2.689919,0.1392659,3.1207566,48800
ANTENOR 2207,8.89,0.15,1.34406,298.24758,159.22117,6.806367,0.017619,5.1307294,48800
ANTEROS 1943,15.75,0.15,71.104936,338.12325,246.48603,8.701611,0.2558827,1.4303452,48800
ANTIGONE 129,7.07,0.33,113.41649,109.02371,136.52891,12.219328,0.2136926,2.8674701,48800
ANTIKLEIA 651,10.01,0.15,49.057778,350.34635,38.523066,10.769472,0.0946756,3.0244694,48800
ANTILOCHUS 1583,8.6,0.15,173.75153,187.12158,221.36007,28.556324,0.0514987,5.1008369,48800
ANTINOUS 1863,15.54,0.15,350.6111,266.85836,347.57817,18.423663,0.605814,2.2603743,48800
ANTIOPE 90,8.27,0.15,231.06912,236.61272,70.860368,2.232334,0.1566397,3.160835,48800
ANTONIA 272,10.7,0.15,236.54869,62.149515,37.731631,4.447477,0.02829,2.7783556,48800
ANTWERPIA 1294,10.2,0.15,118.11492,312.39246,81.507313,8.69857,0.2325286,2.6905908,48800
ANUBIS 1912,11.4,0.15,120.32412,318.28622,76.53953,3.159919,0.0919067,2.9068801,48800
ANYUTA 3575,11.7,0.15,247.7861,157.74342,71.484006,7.767378,0.1266761,2.7463374,48800
ANZA 2061,16.56,0.15,112.71484,155.89909,208.01403,3.736526,0.5369233,2.2662669,48800
AOBA 4292,11.9,0.15,162.6373,142.28427,322.07269,3.55429,0.0506838,2.7491695,48800
AOKI 5337,11.6,0.15,112.09325,0.49692,239.05483,6.36812,0.0736572,3.2168224,49000
AOLUTA 2341,12.5,0.15,286.08991,347.0154,61.753758,4.077471,0.1520629,2.2119865,48800
AORAKI 3810,13.2,0.15,47.904261,287.38369,244.18189,6.820314,0.1088841,2.2492051,48800
AOSHIMA 4094,13.2,0.15,344.25287,104.5092,255.2189,2.021909,0.3367353,2.8738787,48800
