Name Number,Magnitude H,Magnitude G,Mean anomaly,Arg. perihelion,Long. node,Inclination,Eccentricity,Semimajor axis,Epoch (MJD)
-none-
1969 TC2 4681,11.8,0.15,180.15017,317.53816,38.3227,11.51397,0.1183931,3.0255783,49000
1969 TJ2 4915,13,0.15,74.22027,318.69553,118.73785,3.83243,0.2787912,3.0856862,49000
1969 TL1 5154,11.9,0.15,188.6733,223.11243,72.81133,2.88443,0.1139536,3.0745919,49000
1969 TN4 5075,13.5,0.15,25.86267,183.88361,262.51712,1.32079,0.1731275,2.413686,49000
1969DA 3406,11.3,0.15,304.24647,308.51051,270.44677,8.329439,0.1341264,2.7958202,48800
1969OW 4109,13.4,0.15,269.27922,116.50232,176.88817,1.511562,0.1592621,2.2655005,48800
1969QB 1931,13.2,0.15,220.16699,163.03772,182.67954,8.219797,0.2722382,2.5414669,48800
1969QP 1834,11.5,0.15,181.85104,353.95718,268.67566,9.442945,0.0779967,3.0201803,48800
1969QQ 1875,12.4,0.15,45.293417,139.81109,194.17114,13.417112,0.1768497,3.1247839,48800
1969TB2 3804,12.6,0.15,289.66558,285.95097,22.010206,2.166472,0.0617278,2.89759,48800
1969TB6 4426,12.3,0.15,70.138926,56.448695,237.65064,2.08535,0.0691689,2.7530414,48800
1969TD5 4465,13.4,0.15,266.35783,63.522475,51.343732,3.29199,0.1311793,2.438152,48800
1969TJ1 4184,12.9,0.15,136.82407,35.542578,28.706794,9.444291,0.0376149,2.5783213,48800
1969TK 3577,10.8,0.15,243.25681,180.92652,280.95474,3.740585,0.1882365,3.9655096,48800
1969TP2 3963,13.6,0.15,339.47563,284.3851,110.09179,3.271058,0.1969694,2.4395302,48800
1969UR 4164,12.3,0.15,80.42448,220.92876,218.35309,12.809699,0.1493687,2.6372944,48800
1970 PS 4916,11.7,0.15,5.65557,268.80975,148.67938,10.75638,0.0916698,3.0457363,49000
1970AF1 2975,12.7,0.15,177.11396,316.51525,236.85293,6.889649,0.0945937,2.2485351,48800
1970PA 2993,12.3,0.15,43.43488,73.389451,313.97655,12.286483,0.196039,2.5863223,48800
1970QA1 3813,13.2,0.15,297.41431,349.11207,320.12296,4.157461,0.1752115,2.191031,48800
1970WC 4137,12.9,0.15,187.71376,211.24112,353.13744,3.810972,0.0170444,2.3644837,48800
1971 QR1 5540,14.1,0.15,82.17656,123.29875,223.98218,4.55926,0.3069889,2.5983017,49200
1971 US1 5268,12.9,0.15,10.5106,118.18394,220.73902,14.3035,0.2594056,2.6451329,49000
1971BK 4229,12.8,0.15,322.31406,322.54721,161.38782,5.156015,0.1792564,2.3726176,48800
1971OH 3921,12.6,0.15,269.24633,215.28305,155.67394,12.058967,0.283991,2.6474743,48800
1971OU 3839,12.9,0.15,186.18047,36.834179,241.18066,2.678359,0.1834825,2.4496538,48800
1971QP 4267,14,0.15,306.76525,91.808907,244.92566,2.274034,0.2042385,2.326551,48800
1971QP1 4427,11.9,0.15,312.61494,71.981709,318.78338,8.859702,0.1080681,3.0239519,48800
1971QU 3501,11.6,0.15,71.171499,67.881056,246.6956,4.989449,0.0898882,2.9217925,48800
1971QW1 4513,11.6,0.15,297.48428,199.22023,209.49576,9.936548,0.08162,3.0244567,48800
1971SC 3833,15.5,0.15,143.90264,173.61761,170.39556,11.994295,0.3890296,2.1962571,48800
1971SN1 4004,11.7,0.15,292.98364,348.74751,18.97405,15.725721,0.2075048,3.0941468,48800
