Luyten Plate,Red Plate,Blue Plate,Right ascension,Declination,Nominal ctr (1855),"Galactic Long, Lat",MicroSky[tm],SAO stars,Exposure date,Exposure (min),Seeing (1-5),Hour angle,Notes
88,E-1264,O-1264,6h 48.874m,59° 50.922m,+60 6h 36m,"155.97, 22.91",µ15 Field 88,302,1954-Nov-02 R: 03:38 B: 03:19,R: 50 B: 13,R: 1-2  B: 2-3,R: 00h05m E B: 00h25m E
89,E-1291,O-1291,7h 32.623m,59° 41.792m,+60 7h 20m,"157.25, 28.29",µ16 Field 89,253,1954-Nov-24 R: 02:03 B: 02:53,R: 45 B: 12,R: 3  B: 2-3,R: 00h59m E B: 00h08m E
90,E-960,O-960,8h 16.062m,59° 33.051m,+60 8h 04m,"157.58, 33.77",µ16 Field 90,255,1954-Jan-04 R: 00:37 B: 01:23,R: 40 B: 12,R: 2  B: 2,R: 00h26m E B: 00h20m W
91,E-1296,O-1296,8h 59.398m,59° 26.274m,+60 8h 48m,"156.76, 39.23",µ16 Field 91,218,1954-Nov-26 R: 03:01 B: 03:52,R: 45 B: 12,R: 2-3  B: 2-3,R: 01h20m E B: 00h29m E
92,E-703,O-703,9h 42.588m,59° 20.407m,+60 9h 32m,"154.56, 44.47",µ16 Field 92,206,1953-Mar-13 R: 22:03 B: 21:47,R: 45 B: 10,R: 1-2  B: 2,R: 00h02m W B: 00h14m E
93,E-962,O-962,10h 25.693m,59° 15.895m,+60 10h 16m,"150.66, 49.28",µ17 Field 93,193,1954-Jan-04 R: 02:46 B: 03:33,R: 40 B: 12,R: 2  B: 2,R: 00h27m E B: 00h20m W
94,E-712,O-712,11h 8.724m,59° 12.926m,+60 11h 00m,"144.74, 53.35",µ17 Field 94,192,1953-Mar-17 R: 23:17 B: 23:00,R: 45 B: 10,R: 2  B: 2,R: 00h06m W B: 00h11m E
95,E-723,O-723,11h 51.658m,59° 11.599m,+60 11h 44m,"136.71, 56.31",µ17 Field 95,175,1953-Apr-14 R: 22:35 B: 22:19,R: 45 B: 10,R: 3-4  B: 3-4,R: 00h31m W B: 00h14m W
96,E-1427,O-1427,12h 34.622m,59° 12.080m,+60 12h 28m,"126.97, 57.8",µ18 Field 96,192,1955-May-18 R: 20:47 B: 20:30,R: 50 B: 12,R: 2-3  B: 3,R: 00h11m W B: 00h06m E,
97,E-704,O-704,13h 17.694m,59° 14.029m,+60 13h 12m,"116.67, 57.57",µ18 Field 97,183,1953-Mar-13 R: 01:55 B: 01:37,R: 45 B: 10,R: 1-2  B: 2,R: 00h19m W B: 00h01m W,
98,E-705,O-705,14h 0.737m,59° 17.819m,+60 13h 56m,"107.29, 55.68",µ18 Field 98,186,1953-Mar-14 R: 02:51 B: 02:35,R: 45 B: 10,R: 2-3  B: 2-3,R: 00h35m W B: 00h19m W,Position noted incorrectly on E plate.
99,E-1425,O-1425,14h 43.778m,59° 23.490m,+60 14h 40m,"99.8, 52.4",µ18 Field 99,189,1955-Mar-16 R: 23:15 B: 22:56,R: 50 B: 12,R: 2  B: 2,R: 00h21m W B: 00h02m W,
100,E-755,O-755,15h 27.058m,59° 30.169m,+60 15h 24m,"94.42, 48.11",µ19 Field 100,200,1953-Jun-14 R: 22:04 B: 21:45,R: 45 B: 12,R: 1-2  B: 2,R: 00h23m W B: 00h04m W,
101,E-1100,O-1100,16h 10.489m,59° 37.459m,+60 16h 08m,"90.98, 43.16",µ19 Field 101,233,1954-Jun-28 R: 20:40 B: 21:35,R: 50 B: 13,R: 3  B: 2-3,R: 00h50m E B: 00h05m W,
102,E-1414,O-1414,16h 54.127m,59° 46.508m,+60 16h 52m,"89.17, 37.84",µ19 Field 102,236,1955-Apr-27 R: 02:44 B: 02:27,R: 50 B: 12,R: 3-4  B: 3,R: 00h25m W B: 00h08m W,
103,E-1148,O-1148,17h 37.914m,59° 55.387m,+60 17h 36m,"88.67, 32.36",µ20 Field 103,252,1954-Jul-28 R: 20:45 B: 21:40,R: 50 B: 13,R: 3  B: 3,R: 00h15m E B: 00h40m W,
104,E-512,O-512,18h 21.921m,60° 4.204m,+60 18h 20m,"89.24, 26.89",µ20 Field 104,253,1952-May-26 R: 01:25 B: 01:09,R: 70 B: 10,R: 2  B: 2,R: 00h24m E B: 00h40m E,Position noted incorrectly on O plate.
105,E-830,O-830,19h 6.048m,60° 13.570m,+60 19h 04m,"90.73, 21.57",µ20 Field 105,357,1953-Sep-29 R: 18:55 B: 19:47,R: 45 B: 12,R: 2  B: 1-2,R: 00h37m W B: 01h29m W,
106,E-545,O-545,19h 50.396m,60° 22.475m,+60 19h 48m,"93.02, 16.53",µ20 Field 106,477,1952-Aug-12 R: 21:50 B: 21:33,R: 50 B: 10,R: 2  B: 2,R: 00h21m E B: 00h38m E,
107,E-593,O-593,20h 34.979m,60° 29.803m,+60 20h 32m,"96.01, 11.86",µ21 Field 107,395,1952-Sep-15 R: 19:41 B: 19:25,R: 50 B: 10,R: 2  B: 2,R: 00h60m E B: 01h16m E,
108,E-540,O-540,21h 19.740m,60° 36.913m,+60 21h 16m,"99.66, 7.7",µ21 Field 108,467,1952-Jul-22 R: 00:54 B: 00:38,R: 60 B: 10,R: 3  B: 3,R: 00h08m E B: 00h24m E,
109,E-594,O-594,22h 4.620m,60° 42.145m,+60 22h 00m,"103.88, 4.16",µ21 Field 109,524,1952-Sep-15 R: 20:56 B: 20:38,R: 60 B: 10,R: 2  B: 2,R: 01h14m E B: 01h32m E,
110,E-874,O-874,22h 49.605m,60° 45.907m,+60 22h 44m,"108.59, 1.33",µ22 Field 110,437,1953-Oct-30 R: 18:20 B: 19:11,R: 45 B: 12,R: 2  B: 2,R: 01h39m E B: 00h48m E,
111,E-1173,O-1173,23h 34.751m,60° 48.101m,+60 23h 28m,"113.71, -0.69",µ22 Field 111,481,1954-Aug-07 R: 02:13 B: 01:55,R: 50 B: 13,R: 2  B: 2,R: 00h02m E B: 00h20m E,
112,E-636,O-636,0h 7.505m,54° 48.440m,+54 0h 00m,"116.57, -7.52",µ13 Field 112,475,1952-Dec-13 R: 18:38 B: 18:22,R: 40 B: 10,R: 1-2  B: 2,R: 00h16m W B: 00h00m 
113,E-1237,O-1237,0h 46.267m,54° 47.610m,+54 0h 38m,"122.18, -8.07",µ13 Field 113,445,1954-Oct-01 R: 23:40 B: 23:21,R: 50 B: 13,R: 3  B: 2,R: 00h09m E B: 00h29m E
114,E-945,O-945,1h 25.004m,54° 45.434m,+54 1h 16m,"127.81, -7.8",µ13 Field 114,471,1954-Jan-03 R: 18:07 B: 18:53,R: 40 B: 12,R: 1-2  B: 2,R: 00h10m E B: 00h36m W
